"","chr","start","end","count_c1","count_c2","count_c3","count_c4","count_c5","count_c6","count_c7","count_c8","count_c9","count_c10","count_h1","count_h2","count_h3","count_h4","count_h5","count_h6","count_h7","count_h8","count_h9","count_h10","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"14","chr1",2158268,2159147,778,0,0,0,0,0,0,0,0,0,200,0,704,0,0,0,0,0,0,0,9.08956768588208,22.0659922836214,2.95961391663178,7.45569959636284,8.93922129346088e-14,3.44050714068777e-11
"15","chr1",3087095,3087765,0,0,0,0,0,0,0,0,0,0,671,226,200,0,0,0,0,0,0,0,55.5855098292121,23.5761439371149,2.95710422303318,7.97271322176538,1.55228097530174e-15,1.37950604662365e-12
"16","chr1",3237362,3240475,3114,0,0,0,0,0,0,0,1036,0,0,0,0,0,0,0,0,0,0,0,41.8643212901862,-24.1606867503288,2.95696095728722,-8.17078314503493,3.06393945271538e-16,3.47135517130354e-13
"17","chr1",3593546,3594086,0,0,0,0,0,0,0,0,0,0,396,0,0,358,0,0,541,430,0,200,118.857070956168,24.5030985944697,2.9568422883189,8.28691428395418,1.16224333347389e-16,1.61222148561164e-13
"18","chr1",3806755,3807841,0,0,0,0,0,0,0,0,0,0,1087,258,0,0,0,0,0,0,0,200,93.6644082982769,25.3198922119923,2.95690437173373,8.56297297066336,1.0999372763513e-17,3.91808521414371e-14
"19","chr1",6035627,6036052,0,0,0,0,0,0,0,0,0,0,426,200,0,0,0,0,0,0,0,0,9.76689470883182,22.1631029233083,2.9594068988839,7.4890353643721,6.93816461267132e-14,3.00280295354109e-11
"20","chr1",6265489,6267147,1659,0,857,0,0,0,0,0,1071,0,0,0,0,0,0,0,0,0,0,0,143.686733688094,-25.8403844316607,2.95671460401025,-8.73955991444453,2.34020248799699e-18,2.29732011890038e-14
"21","chr1",6484799,6485953,612,0,0,0,714,0,0,0,0,0,0,439,0,200,0,0,0,0,0,0,10.0185382859019,22.1993752260213,2.95933715074882,7.50146877330419,6.31066649485779e-14,3.00280295354109e-11
"22","chr1",6544949,6546147,1199,0,0,0,0,200,0,0,612,235,0,0,0,0,0,0,0,0,0,0,92.1826101254935,-25.242343028887,2.95677120156613,-8.5371309810907,1.37595551214309e-17,4.49438993115448e-14
"23","chr1",6556886,6558151,1266,0,0,0,0,0,0,0,0,200,0,0,200,281,0,0,0,0,0,0,8.10542524857101,-21.9371794184026,2.95840815886312,-7.41519703854278,1.21444116155965e-13,3.76886832054211e-11
"24","chr1",7972822,7973792,947,0,249,0,0,0,0,0,0,0,0,0,0,338,0,0,0,0,0,0,10.0921253840721,-22.0613047202512,2.95805505288014,-7.45804399372858,8.78163513408822e-14,3.44050714068777e-11
"25","chr1",8442667,8443374,0,0,0,0,0,0,0,0,0,0,708,0,0,200,0,0,0,0,0,0,10.0185382859019,22.1993752260213,2.95933715074882,7.50146877330419,6.31066649485779e-14,3.00280295354109e-11
"26","chr1",8689286,8690307,0,0,0,0,0,0,0,0,0,0,303,1022,0,0,0,0,0,0,0,0,13.7706950441113,22.4616860364143,2.95859569731767,7.59200929575425,3.14982415757981e-14,1.94469065089837e-11
"27","chr1",8740499,8741812,1314,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,8.10542524857101,-21.9371794184026,2.95840815886312,-7.41519703854278,1.21444116155965e-13,3.76886832054211e-11
"28","chr1",8772409,8773279,834,0,0,0,0,0,0,0,0,0,0,0,0,466,0,0,200,0,0,0,9.16491001748093,22.0773622603428,2.95958936581883,7.45960318526641,8.67834433981401e-14,3.44050714068777e-11
"29","chr1",8889244,8889894,621,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,9.85993667452261,-22.2044577051817,2.95808889884756,-7.50635239996751,6.07976158558308e-14,3.00280295354109e-11
"30","chr1",9339481,9340742,1262,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.10612480648358,-21.9376010179215,2.95840796444953,-7.41534003475529,1.21313149308554e-13,3.76886832054211e-11
"31","chr1",10960265,10961922,1424,0,0,0,0,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,16.4871072262509,-22.901472550075,2.95749592477047,-7.74353477827781,9.66903245771307e-15,7.419696635702e-12
"32","chr1",11004151,11004841,691,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8482078182765,-22.5629428940341,2.9577458223212,-7.62842524322359,2.37638579617294e-14,1.54543634959379e-11
"33","chr1",11844975,11845635,0,0,0,0,0,0,0,0,0,0,0,200,0,408,0,0,0,200,0,0,42.5173398157722,24.1365941534097,2.95725557099528,8.16182219424694,3.30007750321611e-16,3.67633730503068e-13
"34","chr1",12210780,12211476,0,0,0,0,0,0,0,0,0,0,0,547,0,0,0,0,200,0,0,0,9.16491001748093,22.0773622603428,2.95958936581883,7.45960318526641,8.67834433981401e-14,3.44050714068777e-11
"35","chr1",12609531,12610377,847,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,8.08191530698575,-21.9112586256968,2.95841338250418,-7.40642222458775,1.29752279892507e-13,3.76886832054211e-11
"36","chr1",12654961,12656394,1434,0,0,0,0,0,0,0,0,0,873,200,0,0,0,0,0,0,0,0,9.76689470883182,22.1631029233083,2.9594068988839,7.4890353643721,6.93816461267132e-14,3.00280295354109e-11
"37","chr1",14155538,14156046,484,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,8.28396318966039,-21.9519293852562,2.95836947616431,-7.42027984067699,1.16873130564873e-13,3.76886832054211e-11
"38","chr1",14219353,14219837,0,0,200,0,0,0,0,0,485,0,0,0,0,0,0,0,0,0,0,0,8.10612480648358,-21.9376010179215,2.95840796444953,-7.41534003475529,1.21313149308554e-13,3.76886832054211e-11
"39","chr1",16062398,16063315,918,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62769729264516,-22.167283669317,2.95812508142978,-7.49369382940448,6.69618244653651e-14,3.00280295354109e-11
"40","chr1",16082792,16084347,1556,0,738,0,0,0,354,0,648,200,0,0,0,0,0,0,0,0,0,0,140.310523984785,-25.8104042923912,2.9567170156704,-8.72941311447723,2.55997529921184e-18,2.35732874387742e-14
"41","chr1",16538351,16539195,845,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,8.08191530698575,-21.9112586256968,2.95841338250418,-7.40642222458775,1.29752279892507e-13,3.76886832054211e-11
"42","chr1",19717383,19717928,0,0,0,0,200,0,529,0,0,0,371,0,0,0,0,0,0,0,0,0,9.62769729264516,-22.167283669317,2.95812508142978,-7.49369382940448,6.69618244653651e-14,3.00280295354109e-11
"43","chr1",19793699,19795716,2018,0,0,0,534,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,25.7059517713626,-23.4997850149276,2.95717953403569,-7.94668864181447,1.91563080287844e-15,1.66648328307894e-12
"44","chr1",19795802,19796527,0,0,0,0,0,0,0,0,0,0,200,0,0,683,0,0,0,0,0,0,9.08956768588208,22.0659922836214,2.95961391663178,7.45569959636284,8.93922129346088e-14,3.44050714068777e-11
"45","chr1",20478543,20479033,491,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,9.05174514382403,-22.0799623987547,2.95822058405554,-7.46393373021711,8.39768494821335e-14,3.44050714068777e-11
"46","chr1",20810110,20813583,3474,0,0,0,200,0,0,0,1400,0,585,0,0,0,0,0,0,0,0,0,66.2011044415454,-23.9774134372816,2.9568330924075,-8.1091535057729,5.09736170584196e-16,5.25890979613795e-13
"47","chr1",20922993,20924478,0,0,200,0,946,0,0,0,0,0,848,0,0,0,0,0,0,0,0,0,8.10612480648358,-21.9376010179215,2.95840796444953,-7.41534003475529,1.21313149308554e-13,3.76886832054211e-11
"48","chr1",21588230,21588966,730,0,0,0,283,0,0,0,0,0,546,0,0,0,0,0,507,0,0,0,13.6231916690929,-22.6422269561222,2.95768171502756,-7.65539673896627,1.92716348645544e-14,1.29412990088515e-11
"49","chr1",21650706,21652736,1255,0,0,0,0,0,649,0,0,0,1883,0,0,0,0,0,454,0,0,0,20.8043457396817,22.4929431837534,2.95792646426232,7.60429424311702,2.86462827949791e-14,1.80992233025591e-11
"50","chr1",21916946,21917630,0,0,0,0,0,0,0,0,0,0,685,200,0,0,0,0,0,0,0,0,9.76689470883182,22.1631029233083,2.9594068988839,7.4890353643721,6.93816461267132e-14,3.00280295354109e-11
"51","chr1",22140757,22141240,0,0,0,0,0,0,0,0,0,0,200,404,0,200,0,0,0,0,0,239,76.6748932162064,25.0386708641574,2.95696917128718,8.46768072771552,2.50327336678375e-17,6.08654043133243e-14
"52","chr1",22402118,22402752,0,0,0,0,0,0,0,0,0,0,211,0,0,595,0,0,0,0,0,0,9.58949390860559,22.138816668586,2.95945794315546,7.48069987606612,7.39278360567981e-14,3.16474755748783e-11
"53","chr1",23036485,23040072,3588,0,245,0,0,0,0,0,0,0,1015,0,0,0,0,0,1055,0,0,0,9.93000288794239,-22.215131915396,2.95807858236974,-7.50998707329785,5.91332018965001e-14,3.00280295354109e-11
"54","chr1",23945592,23946720,1129,0,0,0,0,0,0,0,328,200,0,0,0,0,0,0,0,0,0,0,66.0524681639757,-24.466252496078,2.95683361714552,-8.2744772496524,1.29020401602021e-16,1.73615543746545e-13
"55","chr1",24246204,24246966,693,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,8.08191530698575,-21.9112586256968,2.95841338250418,-7.40642222458775,1.29752279892507e-13,3.76886832054211e-11
"56","chr1",24468105,24470087,1983,0,802,0,0,0,385,0,506,322,0,0,0,0,0,0,0,0,0,0,160.28473230155,-25.9958179911301,2.95670411446495,-8.79216079280706,1.4671059692881e-18,2.11652042659348e-14
"57","chr1",24710637,24711378,513,0,0,0,0,0,0,0,0,0,469,0,0,0,0,0,200,0,0,357,86.9989612866143,25.2111389770233,2.95692682323767,8.52612881012,1.51326749087942e-17,4.73017519889754e-14
"58","chr1",24867407,24867990,531,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,8.08191530698575,-21.9112586256968,2.95841338250418,-7.40642222458775,1.29752279892507e-13,3.76886832054211e-11
"59","chr1",25031535,25032694,1119,0,0,0,0,0,0,0,200,0,0,200,0,0,0,0,0,0,0,0,8.08191530698575,-21.9112586256968,2.95841338250418,-7.40642222458775,1.29752279892507e-13,3.76886832054211e-11
"60","chr1",25494209,25495716,1397,0,0,0,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,0,15.4768678128777,-22.7161965494542,2.95755352982546,-7.68073893519512,1.58173530181384e-14,1.11098814376177e-11
"61","chr1",25832965,25833614,650,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,8.08191530698575,-21.9112586256968,2.95841338250418,-7.40642222458775,1.29752279892507e-13,3.76886832054211e-11
"62","chr1",26490644,26491080,437,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.26824730261325,-21.9481093128632,2.95837283202626,-7.41898014856714,1.18025599264513e-13,3.76886832054211e-11
"63","chr1",26504019,26504921,903,0,331,0,0,0,0,0,501,0,0,0,0,0,0,0,0,0,0,0,69.4070786291894,-23.6007011815108,2.95682305174268,-7.9817766462559,1.44241864059996e-15,1.29651417561466e-12
"64","chr1",26963026,26963780,755,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,10.1428037102671,-22.1443335010076,2.95804821047979,-7.48613001727103,7.09341277858046e-14,3.05776253337224e-11
"65","chr1",27238275,27240478,2204,0,0,0,0,0,0,0,293,0,0,0,0,0,0,0,0,0,0,0,11.8400059247341,-22.4233109099337,2.95784222288991,-7.58096924048416,3.42982916353539e-14,2.08847158367048e-11
"66","chr1",27683074,27684146,333,0,0,0,0,0,0,0,0,0,228,1072,0,0,0,0,0,0,0,0,10.3621071619056,22.2484526608726,2.95924639800677,7.51828326152842,5.55001562626353e-14,3.00280295354109e-11
"67","chr1",28270230,28270628,200,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,399,0,0,0,9.08956768588208,22.0659922836214,2.95961391663178,7.45569959636284,8.93922129346088e-14,3.44050714068777e-11
"68","chr1",31654530,31655566,1037,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,8.10542524857101,-21.9371794184026,2.95840815886312,-7.41519703854278,1.21444116155965e-13,3.76886832054211e-11
"69","chr1",31712015,31712934,920,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.10612480648358,-21.9376010179215,2.95840796444953,-7.41534003475529,1.21313149308554e-13,3.76886832054211e-11
"70","chr1",33190583,33191227,645,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,8.19894238308697,-21.9551562451049,2.95838776476313,-7.4213247183514,1.15954637745712e-13,3.76886832054211e-11
"71","chr1",33224793,33226381,1552,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,8.08191530698575,-21.9112586256968,2.95841338250418,-7.40642222458775,1.29752279892507e-13,3.76886832054211e-11
"72","chr1",33804066,33805208,326,0,0,0,934,0,0,0,0,0,1086,0,0,0,0,0,0,0,0,0,12.9050671308194,-22.5639633188953,2.95774079573489,-7.62878320893868,2.36979759089984e-14,1.54231059902781e-11
"73","chr1",35350997,35351650,644,0,0,0,0,0,0,0,209,0,0,0,0,245,0,0,200,0,0,0,8.4456014958001,-21.9868258395053,2.95833591218967,-7.4321600021518,1.06838452285501e-13,3.76886832054211e-11
"74","chr1",36038545,36039208,664,0,0,0,0,0,475,0,0,200,0,0,0,0,0,0,0,0,0,0,53.863080815961,-24.5095648492635,2.95688351519717,-8.28898559016424,1.14218379883646e-16,1.58750675131186e-13
"75","chr1",36521140,36521834,0,0,0,0,0,0,0,0,0,0,439,373,0,400,0,0,200,0,200,0,79.1835578442559,25.0724817971595,2.95695777308906,8.47914773262618,2.2684948692406e-17,5.77525433489992e-14
"76","chr1",36643917,36645169,1253,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,0,65.7887182086754,-24.7819108389913,2.95683453943966,-8.38123016639533,5.23773614460342e-17,9.30951135401905e-14
"77","chr1",38071860,38072321,0,0,0,0,0,0,0,0,0,0,200,200,0,0,0,0,219,0,0,422,95.7016308787077,24.8604524938014,2.95689832925528,8.40761153260984,4.18444386944565e-17,7.86262440481e-14
"78","chr1",38679477,38679829,329,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25921246167857,-20.7050132679858,2.96105540927435,-6.99244370879905,2.70138915814366e-12,7.71460059847435e-10
"79","chr1",38940866,38942313,253,0,1448,0,0,0,0,0,0,0,490,0,0,0,0,0,0,0,0,0,10.0152821598077,-22.0938240378823,2.95806589297625,-7.46901010229106,8.08003367909149e-14,3.38528381039923e-11
"80","chr1",39024955,39025933,0,0,0,0,0,0,0,0,0,0,467,0,0,743,0,0,328,0,0,0,73.4734627073289,24.1163146741153,2.95698464926387,8.15571182627511,3.4712924155519e-16,3.83254592088976e-13
"81","chr1",39406946,39407340,0,0,251,0,0,0,0,0,285,200,0,0,0,0,0,0,0,0,0,0,29.7953411931626,-23.7005343767972,2.95710174863256,-8.0147848777124,1.10329951450012e-15,1.01551393651252e-12
"82","chr1",40236090,40237048,866,0,0,0,0,0,366,0,0,0,0,875,0,562,0,0,0,0,0,0,15.0040645610492,-22.7070732026878,2.95758314427654,-7.67757729706775,1.62125422776107e-14,1.12990454670508e-11
"83","chr1",40425851,40426464,0,0,0,0,0,0,0,0,0,0,597,569,0,378,0,0,471,0,0,0,95.4375754405067,25.2571205662356,2.9568988796337,8.54175999734033,1.32192768766295e-17,4.3673564395579e-14
"84","chr1",42192876,42193606,0,0,0,0,0,0,0,0,0,0,651,200,0,394,0,0,0,0,0,0,59.0899579496047,23.4029607759659,2.95707532445512,7.91422544512904,2.48797109734543e-15,2.12366055652856e-12
"85","chr1",42230519,42230758,0,0,0,0,0,0,0,0,0,0,200,240,0,200,0,0,200,0,0,0,39.9932896398631,24.1264618588345,2.95729619901686,8.15828386309604,3.39818137397022e-16,3.76142175894487e-13
"86","chr1",42891840,42893214,0,0,0,0,0,0,0,0,0,0,1375,506,0,588,0,0,0,0,0,0,116.655524014335,25.6235199890303,2.95684673390914,8.66582623143081,4.48250202621514e-18,2.77143494919397e-14
"87","chr1",43444624,43446776,2153,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,8.12232488352067,-21.940668806915,2.95840438988731,-7.41638596870481,1.20359414464902e-13,3.76886832054211e-11
"88","chr1",43472640,43474196,1557,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,8.91596777342811,-22.0643969350351,2.95824505811455,-7.45861025762954,8.74398321710056e-14,3.44050714068777e-11
"89","chr1",44951147,44952012,0,0,200,0,0,0,0,0,0,0,282,866,0,0,0,0,0,0,0,0,12.8162904370937,22.544550083919,2.95874321780448,7.61963726634177,2.54389562036948e-14,1.63472205644812e-11
"90","chr1",45291987,45292973,987,0,0,0,0,0,421,0,0,0,0,0,0,237,0,0,289,0,0,0,17.2587737163981,-22.9628891759279,2.95745648566938,-7.76440474684805,8.20295538236914e-15,6.35375558177448e-12
"91","chr1",46668831,46669407,0,0,0,0,0,0,0,0,0,0,577,0,0,389,0,0,200,0,0,0,54.8743697573299,24.5709873912604,2.95711077766477,8.30911969103305,9.64146356151906e-17,1.42659050328466e-13
"92","chr1",46954982,46956085,806,0,1104,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.2798991920432,-24.921477841456,2.95678198835219,-8.42858145768967,3.4988057768403e-17,7.15964844533144e-14
"93","chr1",47654689,47655761,212,0,0,0,596,0,0,0,0,0,1048,0,0,0,0,0,0,0,0,0,8.39225224458192,-21.7396913463805,2.95834646064595,-7.34859545208025,2.003004047478e-13,5.76006735367602e-11
"94","chr1",47690426,47691953,200,0,0,0,0,0,1088,0,0,0,623,0,0,0,0,0,644,0,0,0,7.91721909866219,-21.891417019909,2.95845068563511,-7.39962208131566,1.36572615035799e-13,3.94184360949773e-11
"95","chr1",47882029,47882744,676,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,200,11.051845899729,-22.3580798529904,2.95793070574976,-7.55868952897704,4.07150429138256e-14,2.35736013349687e-11
"96","chr1",48461607,48463355,1687,0,532,0,200,0,0,0,1118,736,0,0,0,0,0,0,0,0,0,0,172.977603855899,-25.5538393403254,2.95669743350536,-8.64269676387875,5.49014917941998e-18,3.05053119702277e-14
"97","chr1",51762470,51762986,517,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.10612480648358,-21.9376010179215,2.95840796444953,-7.41534003475529,1.21313149308554e-13,3.76886832054211e-11
"98","chr1",51810327,51810817,491,0,366,0,357,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,60.7102139769509,-24.673974282569,2.9568530496719,-8.34467383670177,7.14106933607993e-17,1.14679744093088e-13
"99","chr1",53527511,53528174,0,0,274,0,0,0,0,0,0,0,632,0,200,0,0,0,0,0,0,0,14.0534192220978,22.6715253942459,2.95855773838919,7.66303293664619,1.81592750823789e-14,1.23639557955138e-11
"100","chr1",53555032,53556594,1563,0,0,0,0,0,0,0,602,0,0,0,0,0,0,0,0,0,0,0,24.3265650740271,-23.2037150076364,2.95721156271749,-7.84648460738252,4.27861239379996e-15,3.4742252363502e-12
"101","chr1",54586831,54587870,1040,0,0,0,200,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,9.62769729264516,-22.167283669317,2.95812508142978,-7.49369382940448,6.69618244653651e-14,3.00280295354109e-11
"102","chr1",54964860,54965856,997,0,0,0,200,0,200,0,200,0,0,0,0,0,0,0,0,0,0,0,65.3758921895489,-24.7615968447697,2.95683594097548,-8.37435601401703,5.55266641886183e-17,9.67068918612196e-14
"103","chr1",55029791,55031318,1528,0,0,0,1008,0,0,0,0,200,0,0,0,212,0,0,0,0,0,0,117.116573517282,-25.1028186673906,2.95673752389219,-8.49003960092668,2.0656669892858e-17,5.50160212078736e-14
"104","chr1",55431285,55432190,0,0,0,0,0,0,0,0,0,0,876,200,0,0,0,0,0,0,0,0,9.76689470883182,22.1631029233083,2.9594068988839,7.4890353643721,6.93816461267132e-14,3.00280295354109e-11
"105","chr1",55445908,55446772,865,0,283,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,53.794054509874,-24.4999577712808,2.9568839587755,-8.28573529190054,1.17381598503214e-16,1.62307248959101e-13
"106","chr1",55491413,55491901,0,0,0,0,0,0,0,0,0,0,208,200,0,354,0,0,0,0,0,0,36.9528578681955,24.0104228681711,2.9573525042545,8.1188910803258,4.70462498538882e-16,4.92415518875781e-13
"107","chr1",55753742,55754161,0,0,0,0,0,0,0,0,0,0,0,396,200,200,0,0,0,0,0,0,43.4104090314867,24.2402264338663,2.95724244655442,8.19690196930232,2.46661437354384e-16,2.90486630693308e-13
"108","chr1",56981146,56983056,1911,0,0,0,0,0,0,0,0,0,200,240,0,313,0,0,0,0,0,0,36.4888537539167,24.0041295093365,2.957361920363,8.11673719880391,4.78884234333642e-16,5.00020994447355e-13
"109","chr1",58739986,58740764,779,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5160064804387,-22.5234599940568,2.95777623048333,-7.61499797108594,2.63695610974014e-14,1.68825653774406e-11
"110","chr1",58844357,58844993,637,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62769729264516,-22.167283669317,2.95812508142978,-7.49369382940448,6.69618244653651e-14,3.00280295354109e-11
"111","chr1",61104506,61106135,1630,0,0,0,0,0,0,0,511,0,0,0,0,0,0,0,0,0,0,0,20.6492936093486,-23.2071402879479,2.95731805711694,-7.84736029055069,4.24885314154011e-15,3.4565458560016e-12
"112","chr1",61598067,61598797,667,0,0,0,200,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,9.62769729264516,-22.167283669317,2.95812508142978,-7.49369382940448,6.69618244653651e-14,3.00280295354109e-11
"113","chr1",62660241,62661505,1265,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62769729264516,-22.167283669317,2.95812508142978,-7.49369382940448,6.69618244653651e-14,3.00280295354109e-11
"114","chr1",65921238,65921998,761,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,8.08191530698575,-21.9112586256968,2.95841338250418,-7.40642222458775,1.29752279892507e-13,3.76886832054211e-11
"115","chr1",66015807,66016543,737,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3979130760568,-22.2462611172802,2.9580130791974,-7.52067706317117,5.4493298035553e-14,2.96314117789787e-11
"116","chr1",66998746,66999694,871,0,0,0,319,0,0,0,0,0,719,0,0,387,0,0,0,0,0,0,15.356177181769,-22.7765618650551,2.957561133837,-7.7011296924591,1.34868517801861e-14,9.71221633312087e-12
"117","chr1",67526191,67527190,0,0,0,0,0,0,0,0,0,0,920,511,0,0,0,0,698,0,0,0,98.7519632971313,25.3908336539915,2.95688926401656,8.58700863876831,8.92629252523825e-18,3.61051847986962e-14
"118","chr1",67550091,67550829,739,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,8.08191530698575,-21.9112586256968,2.95841338250418,-7.40642222458775,1.29752279892507e-13,3.76886832054211e-11
"119","chr1",75139283,75139638,0,0,0,0,0,0,0,0,0,0,200,0,356,0,0,0,0,0,0,0,9.08956768588208,22.0659922836214,2.95961391663178,7.45569959636284,8.93922129346088e-14,3.44050714068777e-11
"120","chr1",75840126,75841903,1778,0,0,0,820,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,122.586653295455,-25.5643891936078,2.95673204511013,-8.64616367109978,5.32597084254037e-18,3.013141896467e-14
"121","chr1",76080911,76081657,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,747,0,0,0,12.8738216973839,21.4122267081823,2.95873319742012,7.23695760295411,4.58861510825162e-13,1.31431480858753e-10
"122","chr1",77470473,77471408,936,0,0,0,0,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,13.7386957963279,-22.6524322810237,2.95767244010495,-7.65887120353999,1.8757439082754e-14,1.26746695516323e-11
"123","chr1",84995118,84995723,606,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,8.08191530698575,-21.9112586256968,2.95841338250418,-7.40642222458775,1.29752279892507e-13,3.76886832054211e-11
"124","chr1",86107540,86108910,1371,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,8.08191530698575,-21.9112586256968,2.95841338250418,-7.40642222458775,1.29752279892507e-13,3.76886832054211e-11
